"","n","date","vcrix"
"1","1",2014-11-28,1000
"2","2",2014-11-29,965.979875974543
"3","3",2014-11-30,959.594373269785
"4","4",2014-12-01,959.594373269785
"5","5",2014-12-02,934.643275565378
"6","6",2014-12-03,931.895164831604
"7","7",2014-12-04,934.80697858407
"8","8",2014-12-05,934.49900784495
"9","9",2014-12-06,927.959090600273
"10","10",2014-12-07,918.962997732515
"11","11",2014-12-08,914.278725561404
"12","12",2014-12-09,940.86165066891
"13","13",2014-12-10,912.143803820005
"14","14",2014-12-11,913.609623303943
"15","15",2014-12-12,916.660308704988
"16","16",2014-12-13,660.502411425134
"17","17",2014-12-14,665.150632729816
"18","18",2014-12-15,634.752532280002
"19","19",2014-12-16,600.830030257441
"20","20",2014-12-17,600.027486749588
"21","21",2014-12-18,603.645681505806
"22","22",2014-12-19,593.762027460815
"23","23",2014-12-20,597.880364702276
"24","24",2014-12-21,550.455205809555
"25","25",2014-12-22,567.055376898448
"26","26",2014-12-23,612.872517385796
"27","27",2014-12-24,567.858796194503
"28","28",2014-12-25,578.184766210898
"29","29",2014-12-26,579.46618627807
"30","30",2014-12-27,601.495180966183
"31","31",2014-12-28,629.121047884812
"32","32",2014-12-29,608.121067658798
"33","33",2014-12-30,605.253693703197
"34","34",2014-12-31,602.394944477651
"35","35",2015-01-01,602.394944477651
"36","36",2015-01-02,596.28558299565
"37","37",2015-01-03,584.857370174868
"38","38",2015-01-04,756.204258529322
"39","39",2015-01-05,907.85616644482
"40","40",2015-01-06,961.182655631121
"41","41",2015-01-07,989.693896414239
"42","42",2015-01-08,990.498797213388
"43","43",2015-01-09,999.507698855735
"44","44",2015-01-10,1000.7917790566
"45","45",2015-01-11,1029.23470553357
"46","46",2015-01-12,1021.83083317948
"47","47",2015-01-13,1014.68594146827
"48","48",2015-01-14,1357.43929565252
"49","49",2015-01-15,1810.936543647
"50","50",2015-01-16,2259.36124343564
"51","51",2015-01-17,2132.4297089514
"52","52",2015-01-18,2094.58689800828
"53","53",2015-01-19,2092.65249810089
"54","54",2015-01-20,2064.54832302772
"55","55",2015-01-21,2040.04142215519
"56","56",2015-01-22,2038.46016427257
"57","57",2015-01-23,2034.54873848572
"58","58",2015-01-24,2016.86453662744
"59","59",2015-01-25,2034.70740559306
"60","60",2015-01-26,2016.25194849224
"61","61",2015-01-27,2025.53773120064
"62","62",2015-01-28,2028.93286659896
"63","63",2015-01-29,2025.99976798566
"64","64",2015-01-30,2085.18280776626
"65","65",2015-01-31,2078.03857259761
"66","66",2015-02-01,2078.03857259761
"67","67",2015-02-02,2092.55119551757
"68","68",2015-02-03,2066.40967774831
"69","69",2015-02-04,2017.45557579691
"70","70",2015-02-05,1998.40793505863
"71","71",2015-02-06,1988.72165562874
"72","72",2015-02-07,1993.15059597478
"73","73",2015-02-08,1998.80014891264
"74","74",2015-02-09,2001.45152002289
"75","75",2015-02-10,1990.12387806037
"76","76",2015-02-11,1998.88190149107
"77","77",2015-02-12,2001.82465391092
"78","78",2015-02-13,1723.40641165081
"79","79",2015-02-14,1240.65871477708
"80","80",2015-02-15,893.336239772308
"81","81",2015-02-16,1100.55368923915
"82","82",2015-02-17,1101.33041689938
"83","83",2015-02-18,1104.96571625257
"84","84",2015-02-19,1131.42299299032
"85","85",2015-02-20,1148.2744880744
"86","86",2015-02-21,1120.09507846973
"87","87",2015-02-22,1118.05301988624
"88","88",2015-02-23,1138.91469047484
"89","89",2015-02-24,1107.55479542563
